plant_id,animal,toxic,clinical_signs
1,cat,FALSE,null
1,dog,FALSE,null
1,horse,FALSE,null
2,cat,FALSE,null
2,dog,FALSE,null
2,horse,FALSE,null
3,cat,TRUE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
3,dog,TRUE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
3,horse,TRUE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
4,cat,FALSE,null
4,dog,FALSE,null
4,horse,FALSE,null
5,cat,FALSE,null
5,dog,FALSE,null
5,horse,FALSE,null
6,cat,TRUE,"Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death."
6,dog,TRUE,"Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death."
6,horse,TRUE,"Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death."
7,cat,FALSE,null
7,dog,FALSE,null
7,horse,FALSE,null
8,cat,TRUE,"Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing"
8,dog,TRUE,"Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing"
8,horse,TRUE,"Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing"
9,cat,TRUE,"Vomiting, depression, diarrhea, anorexia, tremors, change in urine color."
9,dog,TRUE,"Vomiting, depression, diarrhea, anorexia, tremors, change in urine color."
9,horse,TRUE,"Vomiting, depression, diarrhea, anorexia, tremors, change in urine color."
10,cat,TRUE,"Two distinct syndromes are associated with poisoning. The first is called ""dew poisoning"", and is associated with a photosensitivity reaction: sunburn on nonpigmented skin. Affected areas become painful and form ulcerations, and inflammation/ulceration of the mouth and tongue may also occur along with colic and diarrhea, depression or excitation. The second syndrome is associated with recurring bouts of a condition known as ""big liver disease""; animals develop a yellowish discoloration of membranes around the mouth, eyes and nonpigmented areas of skin, accompanied by weight loss, central nervous system depression, loss of appetite, incoordination, dark, discolored urine and a greatly enlarged, fibrotic liver."
10,dog,TRUE,"Two distinct syndromes are associated with poisoning. The first is called ""dew poisoning"", and is associated with a photosensitivity reaction: sunburn on nonpigmented skin. Affected areas become painful and form ulcerations, and inflammation/ulceration of the mouth and tongue may also occur along with colic and diarrhea, depression or excitation. The second syndrome is associated with recurring bouts of a condition known as ""big liver disease""; animals develop a yellowish discoloration of membranes around the mouth, eyes and nonpigmented areas of skin, accompanied by weight loss, central nervous system depression, loss of appetite, incoordination, dark, discolored urine and a greatly enlarged, fibrotic liver."
10,horse,TRUE,"Two distinct syndromes are associated with poisoning. The first is called ""dew poisoning"", and is associated with a photosensitivity reaction: sunburn on nonpigmented skin. Affected areas become painful and form ulcerations, and inflammation/ulceration of the mouth and tongue may also occur along with colic and diarrhea, depression or excitation. The second syndrome is associated with recurring bouts of a condition known as ""big liver disease""; animals develop a yellowish discoloration of membranes around the mouth, eyes and nonpigmented areas of skin, accompanied by weight loss, central nervous system depression, loss of appetite, incoordination, dark, discolored urine and a greatly enlarged, fibrotic liver."
11,cat,FALSE,null
11,dog,FALSE,null
11,horse,TRUE,null
12,cat,FALSE,null
12,dog,FALSE,null
12,horse,FALSE,null
13,cat,FALSE,null
13,dog,FALSE,null
13,horse,FALSE,null
14,cat,TRUE,"vomiting, depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors."
14,dog,TRUE,"vomiting, depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors."
14,horse,TRUE,"vomiting, depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors."
15,cat,TRUE,"Vomiting, anorexia, depression"
