sci_name,animal,toxic
Canna edulis,cat,FALSE
Canna edulis,dog,FALSE
Canna edulis,horse,FALSE
Cucurbita pepo,cat,FALSE
Cucurbita pepo,dog,FALSE
Cucurbita pepo,horse,FALSE
Arum maculatum,cat,TRUE
Arum maculatum,dog,TRUE
Arum maculatum,horse,TRUE
Gerbera jamesonii,cat,FALSE
Gerbera jamesonii,dog,FALSE
Gerbera jamesonii,horse,FALSE
Saintpaulia spp.,cat,FALSE
Saintpaulia spp.,dog,FALSE
Saintpaulia spp.,horse,FALSE
Ricinus communis,cat,TRUE
Ricinus communis,dog,TRUE
Ricinus communis,horse,TRUE
Prosopis limensis,cat,FALSE
Prosopis limensis,dog,FALSE
Prosopis limensis,horse,FALSE
Alocasia spp.,cat,TRUE
Alocasia spp.,dog,TRUE
Alocasia spp.,horse,TRUE
Aloe vera,cat,TRUE
Aloe vera,dog,TRUE
Aloe vera,horse,TRUE
Trifolium hybridum,cat,TRUE
Trifolium hybridum,dog,TRUE
Trifolium hybridum,horse,TRUE
Pilea cadieri,cat,FALSE
Pilea cadieri,dog,FALSE
Pilea cadieri,horse,TRUE
Heuchera sanguinea,cat,FALSE
Heuchera sanguinea,dog,FALSE
Heuchera sanguinea,horse,FALSE
Alyssum spp.,cat,FALSE
Alyssum spp.,dog,FALSE
Alyssum spp.,horse,FALSE
Amaryllis sp.,cat,TRUE
Amaryllis sp.,dog,TRUE
Amaryllis sp.,horse,TRUE
Chenopodium botrys,cat,TRUE
Chenopodium botrys,dog,TRUE
Chenopodium botrys,horse,TRUE
Celastrus scandens,cat,TRUE
Celastrus scandens,dog,TRUE
Celastrus scandens,horse,TRUE
Ilex opaca,cat,TRUE
Ilex opaca,dog,TRUE
Ilex opaca,horse,TRUE
Podophyllum peltatum,cat,TRUE
Podophyllum peltatum,dog,TRUE
Podophyllum peltatum,horse,TRUE
Podophyllum peltatum,cat,TRUE
Podophyllum peltatum,dog,TRUE
Podophyllum peltatum,horse,TRUE
Peperomia obtusifolia,cat,FALSE
Peperomia obtusifolia,dog,FALSE
Peperomia obtusifolia,horse,TRUE
Taxus canidensus,cat,TRUE
Taxus canidensus,dog,TRUE
Taxus canidensus,horse,TRUE
Acer ginnala,cat,FALSE
Acer ginnala,dog,FALSE
Acer ginnala,horse,TRUE
Pieris japonica,cat,TRUE
Pieris japonica,dog,TRUE
Pieris japonica,horse,TRUE
Aralia spinosa,cat,TRUE
Aralia spinosa,dog,TRUE
Aralia spinosa,horse,TRUE
