name,sci_name,common_names,family,image_url,aspca_url,non_toxicity_cats,non_toxicity_dogs,non_toxicity_horses,clinical_signs
Achira,Canna edulis,"Canna, Arrowroot",Cannaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/achira-r.jpg?itok=iQMC4kSf,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/achira,TRUE,TRUE,TRUE,null
Acorn Squash,Cucurbita pepo,"Similar plants:pumpkin, zucchini",Cucurbitaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/acorn-squash-r.jpg?itok=t1Jia-vp,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/acorn-squash,TRUE,TRUE,TRUE,null
Adam-and-Eve,Arum maculatum,"Arum, Lord-and-Ladies, Wake Robin, Starch Root, Bobbins, Cuckoo Plant",Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=I6KyQVcY,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/adam-and-eve,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"
African Daisy,Gerbera jamesonii,"Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy",Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-daisy-r.jpg?itok=Q30Femx_,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-daisy,TRUE,TRUE,TRUE,null
African Violet,Saintpaulia spp.,Cape Marigold,Gesneriaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-violet,TRUE,TRUE,TRUE,null
African Wonder Tree,Ricinus communis,null,null,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/african-wonder-2-r.jpg?itok=omLSnmZc,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-wonder-tree,FALSE,FALSE,FALSE,"Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death."
Algaroba,Prosopis limensis,"Kiawe, Mesquite",Mimosaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/algaroba,TRUE,TRUE,TRUE,null
Alocasia,Alocasia spp.,Elephant's Ear,Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/alocasia-r.jpg?itok=Q-8fgzUQ,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alocasia,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing"
Aloe,Aloe vera,null,Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aloe-r.jpg?itok=w3kaGLt-,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aloe,FALSE,FALSE,FALSE,"Vomiting, depression, diarrhea, anorexia, tremors, change in urine color."
Alsike Clover,Trifolium hybridum,null,Leguminosae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/alsike-clover-r.jpg?itok=w7VcLRAD,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alsike-clover,FALSE,FALSE,FALSE,"Two distinct syndromes are associated with poisoning. The first is called ""dew poisoning"", and is associated with a photosensitivity reaction: sunburn on nonpigmented skin. Affected areas become painful and form ulcerations, and inflammation/ulceration of the mouth and tongue may also occur along with colic and diarrhea, depression or excitation. The second syndrome is associated with recurring bouts of a condition known as ""big liver disease""; animals develop a yellowish discoloration of membranes around the mouth, eyes and nonpigmented areas of skin, accompanied by weight loss, central nervous system depression, loss of appetite, incoordination, dark, discolored urine and a greatly enlarged, fibrotic liver."
