non_toxicity_cats,family,scientific_name,non_toxicity,non_toxicity_dogs,toxicity_horses,toxicity_cats,clinical_signs,additional_common_names,toxic_principles,non_toxicity_horses,url,name,image_url,toxicity,toxicity_dogs
TRUE, Cannaceae, Canna edulis," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Canna, Arrowroot",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/achira,Achira,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/achira-r.jpg?itok=iQMC4kSf,null,FALSE
TRUE, Cucurbitaceae, Cucurbita pepo," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Similar plants:pumpkin, zucchini",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/acorn-squash,Acorn Squash,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/acorn-squash-r.jpg?itok=t1Jia-vp,null,FALSE
FALSE, Araceae, Arum maculatum,null,FALSE,TRUE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Arum, Lord-and-Ladies, Wake Robin, Starch Root, Bobbins, Cuckoo Plant", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/adam-and-eve,Adam-and-Eve,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=I6KyQVcY," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Compositae, Gerbera jamesonii," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-daisy,African Daisy,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-daisy-r.jpg?itok=Q30Femx_,null,FALSE
TRUE, Gesneriaceae, Saintpaulia spp.," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Cape Marigold, ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-violet,African Violet,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE,null, Ricinus communis,null,FALSE,TRUE,TRUE," Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death.",null, Ricin (highly toxic),FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/african-wonder-tree,African Wonder Tree,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/african-wonder-2-r.jpg?itok=omLSnmZc," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Mimosaceae, Prosopis limensis," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Kiawe, Mesquite", ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/algaroba,Algaroba,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Alocasia spp.,null,FALSE,TRUE,TRUE," Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing", Elephant's Ear, Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alocasia,Alocasia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/alocasia-r.jpg?itok=Q-8fgzUQ," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Liliaceae, Aloe vera,null,FALSE,FALSE,TRUE," Vomiting, depression, diarrhea, anorexia, tremors, change in urine color.",null, Saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/aloe,Aloe,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aloe-r.jpg?itok=w3kaGLt-," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Leguminosae, Trifolium hybridum,null,FALSE,TRUE,FALSE," Two distinct syndromes are associated with poisoning. The first is called ""dew poisoning"", and is associated with a photosensitivity reaction: sunburn on nonpigmented skin. Affected areas become painful and form ulcerations, and inflammation/ulceration of the mouth and tongue may also occur along with colic and diarrhea, depression or excitation. The second syndrome is associated with recurring bouts of a condition known as ""big liver disease""; animals develop a yellowish discoloration of membranes around the mouth, eyes and nonpigmented areas of skin, accompanied by weight loss, central nervous system depression, loss of appetite, incoordination, dark, discolored urine and a greatly enlarged, fibrotic liver.",null, Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/alsike-clover,Alsike Clover,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/alsike-clover-r.jpg?itok=w7VcLRAD, Toxic to Horses,FALSE
